source,prompt_tokens,content,cycles,tokens,tok_per_cycle,accepted,drafted,accept_pct,d1_acc,d1_n,d2_acc,d2_n,d3_acc,d3_n,backbone_ms,mtp_ms
adhoc,73,counting task,45,154,3.42,108,117,92.3,42,45,37,39,29,33,3798.3,122.5
adhoc,71,counting task,54,194,3.59,139,145,95.9,51,54,46,48,42,43,4578.7,135.5
adhoc,73,counting task,53,196,3.70,142,148,95.9,51,53,48,49,43,46,4569.4,142.0
adhoc,9970,repeated filler,46,117,2.54,70,91,76.9,37,46,22,31,11,14,3865.2,111.1
adhoc,397555,repeated filler,18,50,2.78,31,42,73.8,17,18,11,16,3,8,1772.2,43.2
omlx-benchmark,200000,code mixed,34,128,3.76,92,95,96.8,33,34,31,32,28,29,3372.7,85.9
omlx-benchmark,1024,code mixed,56,128,2.29,72,102,70.6,44,56,22,35,6,11,4517.8,128.0
omlx-benchmark,1024,code mixed,43,128,2.98,85,104,81.7,40,43,31,37,14,24,3761.3,104.0
omlx-benchmark,1024,code mixed,65,128,1.97,63,99,63.6,42,65,17,27,4,7,4919.8,147.5
omlx-benchmark,1024,code mixed,62,128,2.06,65,99,65.7,41,62,17,29,7,8,4745.0,142.6
