timestamp,run_id,gpu_name,gpu_vram_mb,model_name,quantization,model_size_gb,context_length,prompt_tier,avg_ttft_ms,std_ttft_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_first_ms,ttft_steady_ms,avg_tps,std_tps,avg_power_w,total_energy_wh,avg_kv_cache_estimated_mb,avg_kv_cache_estimated_percent,num_runs,perplexity,cpu_info,system_ram
2026-02-05T21:19:36.202533,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,F16,12.556773483753204,16384,tiny,9.36,0.33,9.21,9.97,10.02,9.23,9.37,111.20,0.99,435.4,5.3295,72.5,0.22,40,12.0618,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:20:26.110913,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,F16,12.556773483753204,16384,small,10.38,0.46,10.44,11.16,11.38,9.98,10.39,108.48,2.03,446.7,5.4709,84.0,0.26,40,12.0618,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:21:17.078868,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,F16,12.556773483753204,16384,medium,9.90,0.49,9.92,10.60,10.82,9.81,9.90,105.02,0.52,451.8,5.5279,197.0,0.60,40,12.0618,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:22:09.594605,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,F16,12.556773483753204,16384,large,11.14,0.44,11.24,11.77,11.92,11.65,11.13,100.73,0.47,454.2,5.5616,700.5,2.15,40,12.0618,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:23:04.499370,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,F16,12.556773483753204,16384,xlarge,13.62,0.76,13.65,15.16,17.22,13.84,13.61,79.09,1.65,450.7,8.1553,3965.0,12.16,40,12.0618,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:24:23.764986,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,Q8_0,6.671763718128204,16384,tiny,5.76,0.32,5.56,6.24,6.36,5.97,5.75,183.77,0.79,468.1,2.9394,72.5,0.22,40,12.0515,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:24:54.207384,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,Q8_0,6.671763718128204,16384,small,6.64,0.31,6.63,7.13,7.17,6.29,6.65,181.70,1.47,470.7,2.9514,84.0,0.26,40,12.0515,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:25:24.999736,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,Q8_0,6.671763718128204,16384,medium,5.87,0.22,5.76,6.29,6.34,6.08,5.87,176.13,5.12,470.2,2.9607,197.0,0.60,40,12.0515,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:25:56.820823,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,Q8_0,6.671763718128204,16384,large,7.57,0.93,7.15,9.97,10.02,9.84,7.51,162.28,6.29,465.3,2.8986,700.5,2.15,40,12.0515,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:26:31.463334,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,Q8_0,6.671763718128204,16384,xlarge,9.46,0.36,9.40,10.06,10.07,9.40,9.46,115.73,1.04,462.9,5.6406,3965.0,12.16,40,12.0515,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:27:26.505825,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,Q6_K,5.151469528675079,16384,tiny,4.87,0.26,4.73,5.40,5.40,5.28,4.86,217.52,0.90,571.9,3.5120,72.5,0.22,40,12.0863,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:27:52.350111,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,Q6_K,5.151469528675079,16384,small,5.78,0.28,5.69,6.43,6.51,6.22,5.77,213.86,1.23,571.5,3.5163,84.0,0.26,40,12.0863,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:28:18.669296,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,Q6_K,5.151469528675079,16384,medium,5.12,0.27,4.96,5.66,5.80,5.38,5.11,209.17,0.55,571.8,3.5232,197.0,0.60,40,12.0863,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:28:45.519601,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,Q6_K,5.151469528675079,16384,large,6.45,0.27,6.34,6.95,7.02,6.37,6.45,189.35,0.35,561.5,3.4682,700.5,2.15,40,12.0863,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:29:15.266904,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,Q6_K,5.151469528675079,16384,xlarge,8.56,0.32,8.36,9.12,9.35,9.08,8.55,127.67,0.63,513.1,3.1939,3965.0,12.16,40,12.0863,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:30:05.585494,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,Q5_K_M,4.456538498401642,16384,tiny,4.25,0.12,4.20,4.51,4.60,4.09,4.25,247.16,0.75,550.7,0.1748,72.5,0.22,40,12.1506,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:30:28.470767,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,Q5_K_M,4.456538498401642,16384,small,5.25,0.20,5.20,5.66,5.80,5.10,5.25,242.70,0.68,547.3,3.1779,84.0,0.26,40,12.1506,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
2026-02-05T21:30:52.328756,2026-02-05T10-19-20Z_eb36,NVIDIA GeForce RTX 5090,32607,DeepSeek-Coder-7B,Q5_K_M,4.456538498401642,16384,medium,4.53,0.16,4.43,4.79,4.82,4.64,4.52,235.99,1.73,553.5,3.4026,197.0,0.60,40,12.1506,13th Gen Intel(R) Core(TM) i9-13900KF,94.1GB
